title,preview,date
윤석열 “세종에 청와대 제2집무실…명실상부한 행정수도 만들 것”,"국민의힘 윤석열 대선 후보는 충청 지역 방문 이틀째인 22일 ""국회 세종의사당이 차질 없이 개원되도록 하고, 청와대 제2 집무실을 설치해 (세종시를) 명실상부한 행정수도 만들겠다""고 강조하며 지지를 호소했다. 이날 윤 후보는 오전 세종 비오케이아트센터에서 세종 선대위 필승결의대회를 열고 ""세종은 우리 국토의 중심이자 행정의 중심이고, 앞으로 의사당과 대통령의 집무실까지 이전하면 명실공히 정치의 중심이 된다""고 밝혔다. 윤 후보는 ""저는 국회의사당 분원을 (세종에) 설치하는 법안이 국회 운영위를 통과한 바로 그날 의사당 예정 부지를 방문해 청와대 제2 집무실 설치를 약속했다""며 ""앞으로 명실상부한 대한민국 행정수도, 정치 수도로 역할 하도록 저와 국민의힘이 끝까지 책임지고 뒷받침하겠다""고 강조했다.",2022.01.22 16:15
"송영길 ""멸공하다 6∙25""…尹측 ""北 '남침유도설'과 뭐가 다른가""","이날 송 대표는 이날 자신의 페이스북에 ""전시작전권 회수, 군사위성 등 정찰자산의 뒷받침도 없이 말하는 북한에 대한 선제타격론은 허구""라며 이 같이 말했다. 송 대표는 북한이 최근 잇달아 미사일을 발사하고 핵실험 및 대륙간탄도미사일(ICBM) 발사 재개를 시사한 것에 대해 ""트럼프가 대통령 시절 북한에 대한 제재 해제 없이 김정은과의 대화로 전쟁을 막고 장거리 미사일 발사와 추가 핵실험을 막았다고 자랑했었는데 그 말이 무색하게 됐다""고 분석했다. 이어 ""연이은 미사일 도발 속에서도 묵묵히 나라를 지키고 있는 모든 군과 나아가 6.25 전쟁 당시 대한민국을 지키기 위해 목숨 바쳐 싸운 호국영령들에 대한 모욕""이라며 ""호국영령과 국민 앞에 사과하고, 자신의 대북관과 역사관을 국민 앞에 소상히 밝히라""고 요구했다.",2022.01.22 15:23
"“실종자 수색 등 수습 정부 주도”… 중동서 귀국 文, 광주부터 챙겼다","중동 3개국 순방을 마치고 귀국한 문재인 대통령이 광주 신축아파트 붕괴사고부터 챙겼다. 박수현 청와대 국민소통수석의 서면브리핑에 따르면 문 대통령은 ""지자체와 업체의 노력과 힘만으로는 실종자 수색, 현장 수습, 피해지원 등에 한계가 있을 것""이라며 이같이 지시했다. 문재인 대통령이 6박 8일간의 아랍에미리트(UAE), 사우디아라비아, 이집트 순방을 마치고 이날 오전 서울공항으로 귀국했다.",2022.01.22 13:47
"이재명, 추경회동 거절한 尹에 “이중 플레이, 구태정치” 비판","더불어민주당 이재명 대선 후보는 22일 국민의힘 윤석열 후보를 겨냥해 ""앞으로는 하자고 하면서 뒤로는 못하게 막는 이중플레이·구태정치에서 벗어나길 원했고 앞으로 그러길 바란다""고 지적했다. 이 후보가 전날 제안한 '추경증액 논의를 위한 대선 후보 회동'을 윤 후보가 사실상 거절한 것에 대해 아쉬움을 토로한 것이다. 전날 윤 후보는 ""제대로 된 추경안을 여당이 대통령을 설득해서, 그걸 가져오라 이 말""이라고 이 후보의 회동 제안을 뿌리쳤다.",2022.01.22 12:59
"김진애 ""이재명 아픈 가족사…형이 성남시장 요구했다더라""","이재명 더불어민주당 대선후보의 이른바 ‘형수 욕설’ 녹취록과 관련해 김진애 전 열린민주당 의원은 ""아픈 가족사""라며 ""공개하면 안 됐다""고 말했다. 김 전 의원은 지난 21일 KBS 라디오 ‘최영일의 시사본부’에 출연해 ""이번에 김건희 씨에 대한 법원 판결문에 의하면 (이 후보 녹취록은) 공개돼선 안 되는 거였다""며 ""특히 사생활에 관계된 것이기 때문""이라고 밝혔다. 아울러 ""돈과 권력, 무속 이렇게 세 가지로 가스라이팅을 하는 게 김건희 씨의 본색 같다""며 ""나는 어떻게 보면 윤 후보가 아내인 김건희 씨에 의해 상당히 가스라이팅의 영향을 받는 게 아닌가 생각해 본다""고 주장했다.",2022.01.22 12:53
드라마 촬영 말 죽음 논란에 尹 “1995년 미 영화서도 말 모형 사용”,"국민의힘 윤석열 대선후보가 22일 ""사람과 동물 모두가 안전한 제작 환경을 만드는 것에 공영방송이 조금 더 노력해야 한다""고 대하사극 ‘태종 이방원’ 낙마 장면 촬영으로 인해 말이 죽고, 스턴트 배우가 다친 사건에 대해 언급했다. 윤 후보는 이날 페이스북을 통해 ""낙마 촬영은 배우와 말 모두에게 위험한 촬영""이라며 ""해외의 경우 이미 1995년에 개봉한 영화 ‘브레이브하트’ 촬영 때도 죽거나 다치는 말 장면에 정교한 모형을 활용했다""며 ""만일 말 다리를 줄에 묶어 강제로 넘어뜨리는 등의 과도한 관행이 있었다면 이번 기회에 개선하고 선진화된 촬영 환경을 만들어가야 한다""고 말했다. 최근 KBS 대하사극 ‘태종 이방원’ 제작진이 낙마 장면 연출을 위해 강제로 쓰러뜨린 말이 숨져 논란을 빚고 있다.",2022.01.22 12:06
"文대통령이 보낸 설 선물…그대로 돌려보낸 日대사, 이유는","주한일본대사관이 문재인 대통령이 보낸 설 선물을 그대로 반송했다. 마이니치신문, 니혼TV 등은 21일 아이보시 고이치(相星孝一) 주한 일본 대사가 문재인 대통령이 보낸 설 선물을 반송했다고 보도했다. 니혼TV는 이날 ""문 대통령이 이번주 보낸 설날 선물에 시마네현 다케시마(竹島·일본이 주장하는 독도의 명칭)의 일러스트가 그려져 있어 파문이 확산되고 있다""며 ""일본 대사관은 선물 수령을 거부하고 한국 측에 강력히 항의했다""고 보도했다.",2022.01.22 11:25
안철수 “민주노총은 큰 해악…강성 귀족노조 혁파할 것”,"안철수 국민의당 대선 후보는 ""민주노총 핵심부는 우리 사회의 큰 해악 세력""이라며 ""청년과 대한민국 미래를 위해 강성 귀족노조를 혁파하겠다""고 밝혔다. 안 후보는 22일 페이스북에 올린 글에서 ""강성 귀족노조는 기업의 성장과 청년을 위한 일자리 창출에 걸림돌""이라며 이처럼 말했다. 이어 ""노동 양극화를 심화시켜 사회 전체의 부익부 빈익빈 현상을 더욱 확산시키고 있다""며 ""경제성장률 둔화로 일자리 창출이 위축된 상황에서, 강성 귀족노조가 자신들의 임금 상승과 고용 연장만을 주장하며 파업을 강행하니, 기업은 더더욱 정규직 고용을 줄일 수밖에 없다""고 주장했다.",2022.01.22 11:23
"“매년 청년에 100만원” “주택, 학자금 지원 확대”… 이재명의 청년 8대 공약","이 후보는 ""오늘날 청년이 성별과 지역, 교육과 경제 수준에 따라 편을 가르고 극단적 갈등을 빚게 된 건 청년들 자신의 문제가 아니라 기성세대의 책임""이라며 ""청년들이 편을 갈라 전쟁하지 않고 협력적으로 경쟁하는 사회, 실패에 대한 두려움 없이 도전하는 사회, 행여 실패해도 다시 일어설 기회가 넘치는 청년기회국가를 만들겠다""고 공약의 취지를 설명했다. 이 후보의 8대 공약은 ^청년 주거 안전망 구축, ^청년 기본소득, ^청년 기본금융, ^일자리 확대, ^군장병 지원, ^대학생 지원, ^청년 우울증 등 청년 복지 증대, ^청년들의 정책 참여 확대 등으로 요약된다. 청년 정책 수석 비서관제 도입, 청년 특임장관 임명 등 청년들의 정책 참여 확대 방안도 약속했다.",2022.01.22 10:26
"[단독]""'조해주 후임 이승택' 꼼수 차단""…野추천 문상부 사퇴","여당의 반대로 임명되지 못해온 야당 몫 추천 중앙선관위원 후보자 문상부 전 선관위 사무총장이 22일 후보를 전격 사퇴했다. 그런데도 민주당이 반대 입장을 고수해 문 후보자의 선관위원 임명은 두 달 가까이 중단되온 상태였다, 이에 따라 선관위는 야당 몫 선관위원이 공석인 가운데 대통령과 대법원장, 민주당이 임명 또는 추천한 친여 성향 선관위원이 7명에 달해 대선을 앞두고 '현격히 여당에 기울어진 선관위'가 됐다는 지적을 받아왔다. 소식통은 ""문 후보의 전격 사퇴는 전날 선관위 직원 2900명이 들고 일어나 문 대통령이 사표를 반려한 조해주 상임위원의 용퇴를 압박한 끝에 조 위원이 결국 물러난 일과 무관하지 않다""며""선관위의 공정성과 독립성을 지키기 위한 직원들 초유의 집단행동에 힘을 실어주면서, 한편으론 그런 움직임을 업고 후보직을 사퇴해 여당이 야당 몫 선관위원 임명에 동의하지 않을 수 없는 환경을 조성해준 것""이라고 말했다.",2022.01.22 09:21
"""'김건희 리스크'만 줄여줬다""…말초적 녹취폭로, 누가 득봤나 [토요풍향계]","윤석열 국민의힘 대선 후보의 부인인 김건희씨 ‘7시간 녹취방송’과 『굿바이 이재명』의 저자 장영하 변호사가 공개한 이재명 더불어민주당 대선 후보의 추가 욕설 같은 말초적인 이슈들이 등장했다. 한국갤럽이 18~20일 전국 만 18세 이상 1002명을 대상으로 조사해 21일 발표한 여론조사 결과 이 후보는 34%, 윤 후보는 33%의 지지율을 기록했다. 이 후보의 지지율은 전주 대비 3%포인트 떨어졌고, 윤 후보의 지지율은 2%포인트 올랐다.",2022.01.22 08:00
